ts,contacts,copies,max_t,min_t,avg_t,acum_t,max_hop_sp,dif_contacts_upper_bound,state_max_t,state_min_t,explored_states,non_reachable_states_count
0,11,1,14,1,6.75,54,6,3,{3: 1},{7: 1},8,0
0,11,2,168,1,41.25,1485,6,5,"{1: 1, 3: 1}",{7: 2},36,28
0,11,3,1260,1,231.0,27720,6,8,"{1: 1, 3: 2}",{7: 3},120,112
0,11,4,8190,1,1197.0,395010,6,11,"{1: 2, 3: 2}",{7: 4},330,322
1,11,1,18,1,9.75,78,6,5,{3: 1},{7: 1},8,0
1,11,2,234,1,85.58333333333333,3081,6,11,"{3: 1, 6: 1}",{7: 2},36,0
1,11,3,2808,1,684.6666666666666,82160,6,16,"{0: 1, 3: 1, 6: 1}",{7: 3},120,0
1,11,4,26676,1,5041.636363636364,1663740,6,20,"{0: 1, 3: 2, 6: 1}",{7: 4},330,0
2,11,1,9,1,4.625,37,4,3,{2: 1},{4: 1},8,0
2,11,2,54,1,19.52777777777778,703,4,5,"{0: 1, 2: 1}",{4: 2},36,0
2,11,3,324,1,76.15833333333333,9139,4,8,"{0: 1, 2: 1, 5: 1}",{4: 3},120,0
2,11,4,1620,1,276.93939393939394,91390,4,12,"{0: 1, 2: 1, 3: 1, 5: 1}",{4: 4},330,0
3,11,1,23,1,7.75,62,6,3,{4: 1},{2: 1},8,0
3,11,2,276,1,54.25,1953,6,7,{4: 2},{2: 2},36,0
3,11,3,3312,1,347.2,41664,6,10,"{1: 1, 4: 2}",{2: 3},120,0
3,11,4,27600,1,2051.6363636363635,677040,6,13,"{1: 1, 4: 3}",{2: 4},330,0
4,11,1,9,1,4.875,39,4,4,{7: 1},{0: 1},8,0
4,11,2,72,1,21.666666666666668,780,4,7,"{5: 1, 7: 1}",{0: 2},36,0
4,11,3,576,1,88.83333333333333,10660,4,10,"{4: 1, 5: 1, 7: 1}",{0: 3},120,0
4,11,4,2880,1,339.1818181818182,111930,4,13,"{4: 1, 5: 1, 7: 2}",{0: 4},330,0
5,11,1,17,1,10.375,83,6,5,{4: 1},{5: 1},8,0
5,11,2,255,1,96.83333333333333,3486,6,9,"{2: 1, 4: 1}",{5: 2},36,0
5,11,3,3825,1,823.0833333333334,98770,6,13,"{0: 1, 2: 1, 4: 1}",{5: 3},120,0
5,11,4,53550,1,6435.015151515152,2123555,6,16,"{0: 1, 2: 1, 3: 1, 4: 1}",{5: 4},330,0
6,11,1,8,1,4.0,32,3,3,{6: 1},{3: 1},8,0
6,11,2,48,1,14.666666666666666,528,3,5,"{2: 1, 6: 1}",{3: 2},36,0
6,11,3,240,1,49.86666666666667,5984,3,8,"{2: 1, 4: 1, 6: 1}",{3: 3},120,0
6,11,4,1080,1,158.66666666666666,52360,3,10,"{2: 1, 4: 1, 6: 2}",{3: 4},330,0
7,11,1,12,1,6.25,50,5,3,{1: 1},{7: 1},8,0
7,11,2,120,1,35.416666666666664,1275,5,7,"{1: 1, 2: 1}",{7: 2},36,0
7,11,3,1200,1,184.16666666666666,22100,5,9,"{1: 1, 2: 1, 6: 1}",{7: 3},120,0
7,11,4,7800,1,887.3484848484849,292825,5,14,"{1: 2, 2: 1, 6: 1}",{7: 4},330,0
8,11,1,19,7,10.75,86,7,6,{4: 1},{0: 1},8,0
8,11,2,228,28,103.91666666666667,3741,7,12,"{3: 1, 4: 1}",{0: 2},36,0
8,11,3,2508,84,914.4666666666667,109736,7,17,"{3: 1, 4: 1, 6: 1}",{0: 3},120,0
8,11,4,27588,210,7398.866666666667,2441626,7,22,"{3: 1, 4: 1, 6: 1, 7: 1}",{0: 4},330,0
9,11,1,12,4,6.125,49,5,4,{0: 1},{2: 1},8,0
9,11,2,84,10,34.02777777777778,1225,5,8,"{0: 1, 6: 1}",{2: 2},36,0
9,11,3,546,20,173.54166666666666,20825,5,12,"{0: 2, 6: 1}",{2: 3},120,0
9,11,4,3276,35,820.3787878787879,270725,5,16,"{0: 2, 4: 1, 6: 1}",{2: 4},330,0
