ts,contacts,copies,max_t,min_t,avg_t,acum_t,max_hop_sp,dif_contacts_upper_bound,state_max_t,state_min_t,explored_states,non_reachable_states_count
0,11,1,11,1,6.375,51,6,4,{1: 1},{2: 1},8,0
0,11,2,110,1,36.833333333333336,1326,6,9,"{1: 1, 3: 1}",{2: 2},36,28
0,11,3,1100,1,195.21666666666667,23426,6,13,"{1: 1, 3: 1, 4: 1}",{2: 3},120,112
0,11,4,8800,1,958.3363636363637,316251,6,19,"{1: 1, 3: 1, 4: 1, 6: 1}",{2: 4},330,322
1,11,1,17,1,6.875,55,5,5,{2: 1},{0: 1},8,0
1,11,2,221,1,42.77777777777778,1540,5,9,"{2: 1, 4: 1}",{0: 2},36,0
1,11,3,2431,1,243.83333333333334,29260,5,12,"{1: 1, 2: 1, 4: 1}",{0: 3},120,0
1,11,4,21879,1,1285.6666666666667,424270,5,16,"{1: 1, 2: 2, 4: 1}",{0: 4},330,0
2,11,1,14,1,9.875,79,6,6,{5: 1},{0: 1},8,0
2,11,2,168,1,87.77777777777777,3160,6,12,"{5: 1, 7: 1}",{0: 2},36,0
2,11,3,1848,1,711.0,85320,6,17,"{4: 1, 5: 1, 7: 1}",{0: 3},120,0
2,11,4,20328,1,5300.181818181818,1749060,6,22,"{3: 1, 4: 1, 5: 1, 7: 1}",{0: 4},330,0
3,11,1,16,1,4.875,39,4,2,{2: 1},{1: 1},8,0
3,11,2,136,1,21.666666666666668,780,4,5,{2: 2},{1: 2},36,0
3,11,3,952,1,88.83333333333333,10660,4,6,"{0: 1, 2: 2}",{1: 3},120,0
3,11,4,5712,1,339.1818181818182,111930,4,8,"{0: 1, 2: 3}",{1: 4},330,0
4,11,1,23,1,7.75,62,5,3,{2: 1},{5: 1},8,0
4,11,2,276,1,54.25,1953,5,6,{2: 2},{5: 2},36,0
4,11,3,3312,1,347.2,41664,5,9,"{1: 1, 2: 2}",{5: 3},120,0
4,11,4,27600,1,2051.6363636363635,677040,5,12,"{1: 1, 2: 3}",{5: 4},330,0
5,11,1,11,1,5.625,45,6,3,{5: 1},{1: 1},8,0
5,11,2,110,1,28.75,1035,6,7,"{4: 1, 5: 1}",{1: 2},36,0
5,11,3,770,1,135.125,16215,6,10,"{3: 1, 4: 1, 5: 1}",{1: 3},120,0
5,11,4,4620,1,589.6363636363636,194580,6,16,"{3: 1, 4: 1, 5: 2}",{1: 4},330,0
6,11,1,14,1,4.75,38,4,3,{6: 1},{3: 1},8,0
6,11,2,105,1,20.583333333333332,741,4,6,{6: 2},{3: 2},36,0
6,11,3,630,1,82.33333333333333,9880,4,9,"{5: 1, 6: 2}",{3: 3},120,0
6,11,4,3360,1,306.8787878787879,101270,4,12,"{5: 1, 6: 3}",{3: 4},330,0
7,11,1,14,1,5.875,47,5,2,{1: 1},{0: 1},8,0
7,11,2,196,1,31.333333333333332,1128,5,5,"{1: 1, 2: 1}",{0: 2},36,0
7,11,3,1470,1,153.53333333333333,18424,5,8,"{1: 1, 2: 2}",{0: 3},120,0
7,11,4,11025,1,697.8787878787879,230300,5,10,"{1: 2, 2: 2}",{0: 4},330,0
8,11,1,11,1,5.875,47,5,4,{1: 1},{2: 1},8,0
8,11,2,99,1,31.333333333333332,1128,5,7,"{0: 1, 1: 1}",{2: 2},36,0
8,11,3,792,1,153.53333333333333,18424,5,10,"{0: 1, 1: 1, 6: 1}",{2: 3},120,0
8,11,4,6336,1,697.8787878787879,230300,5,13,"{0: 1, 1: 1, 6: 1, 7: 1}",{2: 4},330,0
9,11,1,16,1,7.75,62,4,4,{7: 1},{6: 1},8,0
9,11,2,136,1,54.25,1953,4,8,{7: 2},{6: 2},36,0
9,11,3,1088,1,347.2,41664,4,11,"{5: 1, 7: 2}",{6: 3},120,0
9,11,4,8704,1,2051.6363636363635,677040,4,15,"{3: 1, 5: 1, 7: 2}",{6: 4},330,0
