ts,contacts,node,pred+,sp,t_1copies,t_2copies,t_3copies,t_4copies
0,11,0,"[2, 3, 4, 6, 7]",5,6,21,56,126
0,11,1,[],0,1,1,1,1
0,11,2,"[0, 3, 4, 6, 7]",6,7,28,84,210
0,11,3,[],0,1,1,1,1
0,11,4,"[0, 2, 3, 6, 7]",9,10,55,220,715
0,11,5,"[0, 2, 3, 4, 6, 7]",23,24,300,2600,17550
0,11,6,"[0, 2, 3, 4, 7]",5,6,21,56,126
0,11,7,"[0, 2, 3, 4, 6]",10,11,66,286,1001
1,11,0,"[2, 3, 4, 6, 7]",6,7,28,84,210
1,11,1,"[0, 2, 3, 4, 6, 7]",16,17,153,969,4845
1,11,2,"[0, 3, 4, 6, 7]",6,7,28,84,210
1,11,3,"[0, 2, 4, 6, 7]",6,7,28,84,210
1,11,4,[],0,1,1,1,1
1,11,5,"[0, 2, 3, 4, 6, 7]",9,10,55,220,715
1,11,6,"[0, 2, 3, 4, 7]",6,7,28,84,210
1,11,7,"[0, 2, 3, 4, 6]",8,9,45,165,495
2,11,0,"[1, 2, 4, 5, 6]",8,9,45,165,495
2,11,1,"[0, 2, 4, 5, 6]",8,9,45,165,495
2,11,2,"[4, 6]",2,3,6,10,15
2,11,3,"[0, 1, 2, 4, 5, 6]",10,11,66,286,1001
2,11,4,"[2, 6]",2,3,6,10,15
2,11,5,"[0, 1, 2, 4, 6]",9,10,55,220,715
2,11,6,[],0,1,1,1,1
2,11,7,[],0,1,1,1,1
3,11,0,"[4, 5]",2,3,6,10,15
3,11,1,"[3, 4, 5, 7]",5,6,21,56,126
3,11,2,[],0,1,1,1,1
3,11,3,"[1, 4, 5, 7]",5,6,21,56,126
3,11,4,[],0,1,1,1,1
3,11,5,[4],1,2,3,4,5
3,11,6,"[0, 1, 3, 4, 5, 7]",16,17,153,969,4845
3,11,7,"[1, 3, 4, 5]",5,6,21,56,126
4,11,0,"[3, 4, 5]",5,6,21,56,126
4,11,1,[3],1,2,3,4,5
4,11,2,"[3, 4, 5]",3,4,10,20,35
4,11,3,[],0,1,1,1,1
4,11,4,[3],1,2,3,4,5
4,11,5,"[3, 4]",2,3,6,10,15
4,11,6,"[0, 3, 4, 5]",6,7,28,84,210
4,11,7,"[0, 2, 3, 4, 5]",13,14,105,560,2380
5,11,0,"[1, 3, 4, 5, 6, 7]",9,10,55,220,715
5,11,1,"[0, 3, 4, 5, 6, 7]",7,8,36,120,330
5,11,2,"[0, 1, 3, 4, 5, 6, 7]",14,15,120,680,3060
5,11,3,[],0,1,1,1,1
5,11,4,"[0, 1, 3, 5, 6, 7]",9,10,55,220,715
5,11,5,[],0,1,1,1,1
5,11,6,"[0, 1, 3, 4, 5, 7]",13,14,105,560,2380
5,11,7,"[0, 1, 3, 4, 5, 6]",7,8,36,120,330
6,11,0,"[1, 3, 4, 6, 7]",8,9,45,165,495
6,11,1,[],0,1,1,1,1
6,11,2,"[0, 1, 3, 4, 6, 7]",9,10,55,220,715
6,11,3,"[0, 1, 4, 6, 7]",8,9,45,165,495
6,11,4,"[0, 1, 3, 6, 7]",8,9,45,165,495
6,11,5,[],0,1,1,1,1
6,11,6,"[0, 1, 3, 4, 7]",6,7,28,84,210
6,11,7,"[0, 1, 3, 4, 6]",14,15,120,680,3060
7,11,0,"[1, 2, 4, 7]",6,7,28,84,210
7,11,1,"[2, 4, 7]",5,6,21,56,126
7,11,2,[],0,1,1,1,1
7,11,3,"[2, 7]",3,4,10,20,35
7,11,4,"[1, 2, 7]",5,6,21,56,126
7,11,5,[2],1,2,3,4,5
7,11,6,"[2, 7]",2,3,6,10,15
7,11,7,[2],1,2,3,4,5
8,11,0,"[3, 4, 7]",3,4,10,20,35
8,11,1,[],0,1,1,1,1
8,11,2,"[1, 3, 4, 7]",4,5,15,35,70
8,11,3,"[4, 7]",2,3,6,10,15
8,11,4,"[3, 7]",2,3,6,10,15
8,11,5,"[0, 1, 2, 3, 4, 6, 7]",11,12,78,364,1365
8,11,6,[1],1,2,3,4,5
8,11,7,"[3, 4]",2,3,6,10,15
9,11,0,"[1, 3, 5]",4,5,15,35,70
9,11,1,[],0,1,1,1,1
9,11,2,"[1, 3, 5, 6]",5,6,21,56,126
9,11,3,[1],1,2,3,4,5
9,11,4,"[1, 3, 5, 6]",9,10,55,220,715
9,11,5,"[1, 3]",2,3,6,10,15
9,11,6,"[1, 3, 5]",3,4,10,20,35
9,11,7,"[1, 3, 5, 6]",4,5,15,35,70
