ts,contacts,copies,max_t,min_t,avg_t,acum_t,max_hop_sp,dif_contacts_upper_bound,state_max_t,state_min_t,explored_states,non_reachable_states_count
0,11,1,14,1,7.25,58,5,4,{1: 1},{5: 1},8,0
0,11,2,168,1,47.52777777777778,1711,5,7,"{0: 1, 1: 1}",{5: 2},36,28
0,11,3,1848,1,285.1666666666667,34220,5,11,"{0: 1, 1: 1, 4: 1}",{5: 3},120,112
0,11,4,14784,1,1581.378787878788,521855,5,13,"{0: 1, 1: 1, 4: 1, 7: 1}",{5: 4},330,322
1,11,1,7,1,4.125,33,4,3,{5: 1},{2: 1},8,0
1,11,2,49,1,15.583333333333334,561,4,5,"{5: 1, 6: 1}",{2: 2},36,12
1,11,3,294,1,54.541666666666664,6545,4,8,"{0: 1, 5: 1, 6: 1}",{2: 3},120,60
1,11,4,1764,1,178.5,58905,4,11,"{0: 1, 5: 1, 6: 1, 7: 1}",{2: 4},330,199
2,11,1,13,1,6.125,49,5,5,{4: 1},{0: 1},8,0
2,11,2,104,1,34.02777777777778,1225,5,9,"{3: 1, 4: 1}",{0: 2},36,0
2,11,3,832,1,173.54166666666666,20825,5,12,"{1: 1, 3: 1, 4: 1}",{0: 3},120,0
2,11,4,5824,1,820.3787878787879,270725,5,16,"{1: 1, 3: 1, 4: 2}",{0: 4},330,0
3,11,1,11,1,5.875,47,5,4,{7: 1},{1: 1},8,0
3,11,2,88,1,31.333333333333332,1128,5,8,"{5: 1, 7: 1}",{1: 2},36,0
3,11,3,704,1,153.53333333333333,18424,5,11,"{0: 1, 5: 1, 7: 1}",{1: 3},120,0
3,11,4,4224,1,697.8787878787879,230300,5,14,"{0: 1, 5: 1, 7: 2}",{1: 4},330,0
4,11,1,7,1,3.75,30,4,3,{2: 1},{1: 1},8,0
4,11,2,42,1,12.916666666666666,465,4,5,"{0: 1, 2: 1}",{1: 2},36,0
4,11,3,168,1,41.333333333333336,4960,4,8,"{0: 1, 2: 2}",{1: 3},120,0
4,11,4,672,1,124.0,40920,4,10,"{0: 1, 2: 2, 5: 1}",{1: 4},330,0
5,11,1,10,1,4.75,38,4,3,{1: 1},{2: 1},8,0
5,11,2,70,1,20.583333333333332,741,4,5,"{1: 1, 7: 1}",{2: 2},36,0
5,11,3,420,1,82.33333333333333,9880,4,9,"{1: 1, 4: 1, 7: 1}",{2: 3},120,0
5,11,4,2310,1,306.8787878787879,101270,4,11,"{1: 2, 4: 1, 7: 1}",{2: 4},330,0
6,11,1,10,1,6.5,52,5,5,{1: 1},{5: 1},8,0
6,11,2,100,1,38.27777777777778,1378,5,10,"{1: 1, 3: 1}",{5: 2},36,0
6,11,3,1000,1,206.7,24804,5,14,"{1: 1, 3: 1, 7: 1}",{5: 3},120,0
6,11,4,6000,1,1033.5,341055,5,18,"{1: 1, 3: 1, 6: 1, 7: 1}",{5: 4},330,0
7,11,1,13,1,6.625,53,5,3,{3: 1},{2: 1},8,0
7,11,2,117,1,39.75,1431,5,7,"{1: 1, 3: 1}",{2: 2},36,0
7,11,3,1053,1,218.625,26235,5,10,"{0: 1, 1: 1, 3: 1}",{2: 3},120,0
7,11,4,9477,1,1113.0,367290,5,12,"{0: 1, 1: 1, 3: 1, 5: 1}",{2: 4},330,0
8,11,1,14,1,7.75,62,5,4,{5: 1},{0: 1},8,0
8,11,2,182,1,54.25,1953,5,9,"{4: 1, 5: 1}",{0: 2},36,0
8,11,3,2184,1,347.2,41664,5,13,"{3: 1, 4: 1, 5: 1}",{0: 3},120,0
8,11,4,17472,1,2051.6363636363635,677040,5,17,"{2: 1, 3: 1, 4: 1, 5: 1}",{0: 4},330,0
9,11,1,15,6,7.875,63,6,4,{3: 1},{4: 1},8,0
9,11,2,120,21,56.0,2016,6,7,{3: 2},{4: 2},36,0
9,11,3,960,56,364.0,43680,6,10,"{2: 1, 3: 2}",{4: 3},120,0
9,11,4,6720,126,2184.0,720720,6,13,"{1: 1, 2: 1, 3: 2}",{4: 4},330,0
