ts,contacts,copies,max_t,min_t,avg_t,acum_t,max_hop_sp,dif_contacts_upper_bound,state_max_t,state_min_t,explored_states,non_reachable_states_count
0,11,1,12,1,5.875,47,5,3,{3: 1},{1: 1},8,0
0,11,2,144,1,31.333333333333332,1128,5,7,"{3: 1, 5: 1}",{1: 2},36,28
0,11,3,1008,1,153.53333333333333,18424,5,11,"{3: 1, 5: 1, 7: 1}",{1: 3},120,112
0,11,4,6552,1,697.8787878787879,230300,5,14,"{3: 1, 5: 2, 7: 1}",{1: 4},330,322
1,11,1,13,7,9.375,75,6,5,{7: 1},{1: 1},8,0
1,11,2,156,28,79.16666666666667,2850,6,10,"{0: 1, 7: 1}",{1: 2},36,0
1,11,3,1716,84,609.5833333333334,73150,6,14,"{0: 1, 2: 1, 7: 1}",{1: 3},120,0
1,11,4,17160,210,4322.5,1426425,6,18,"{0: 1, 2: 1, 3: 1, 7: 1}",{1: 4},330,0
2,11,1,14,1,5.375,43,4,3,{4: 1},{1: 1},8,0
2,11,2,168,1,26.27777777777778,946,4,5,"{4: 1, 7: 1}",{1: 2},36,0
2,11,3,1260,1,118.25,14190,4,9,"{4: 2, 7: 1}",{1: 3},120,0
2,11,4,8190,1,494.5,163185,4,12,"{4: 2, 7: 2}",{1: 4},330,0
3,11,1,11,1,4.625,37,4,3,{1: 1},{6: 1},8,0
3,11,2,99,1,19.52777777777778,703,4,5,"{1: 1, 5: 1}",{6: 2},36,0
3,11,3,594,1,76.15833333333333,9139,4,8,"{1: 2, 5: 1}",{6: 3},120,0
3,11,4,2970,1,276.93939393939394,91390,4,10,"{1: 2, 5: 2}",{6: 4},330,0
4,11,1,15,1,9.25,74,6,4,{1: 1},{4: 1},8,0
4,11,2,165,1,77.08333333333333,2775,6,10,"{1: 1, 6: 1}",{4: 2},36,0
4,11,3,1650,1,585.8333333333334,70300,6,13,"{1: 1, 2: 1, 6: 1}",{4: 3},120,0
4,11,4,16500,1,4100.833333333333,1353275,6,19,"{0: 1, 1: 1, 2: 1, 6: 1}",{4: 4},330,0
5,11,1,11,1,6.5,52,5,4,{7: 1},{2: 1},8,0
5,11,2,110,1,38.27777777777778,1378,5,7,"{0: 1, 7: 1}",{2: 2},36,0
5,11,3,990,1,206.7,24804,5,10,"{0: 1, 4: 1, 7: 1}",{2: 3},120,0
5,11,4,7920,1,1033.5,341055,5,13,"{0: 1, 3: 1, 4: 1, 7: 1}",{2: 4},330,0
6,11,1,12,1,7.5,60,6,5,{7: 1},{4: 1},8,0
6,11,2,120,1,50.833333333333336,1830,6,9,"{5: 1, 7: 1}",{4: 2},36,0
6,11,3,1200,1,315.1666666666667,37820,6,12,"{3: 1, 5: 1, 7: 1}",{4: 3},120,0
6,11,4,12000,1,1805.0454545454545,595665,6,16,"{0: 1, 3: 1, 5: 1, 7: 1}",{4: 4},330,0
7,11,1,25,1,11.5,92,6,5,{5: 1},{1: 1},8,0
7,11,2,375,1,118.83333333333333,4278,6,9,"{4: 1, 5: 1}",{1: 2},36,0
7,11,3,4875,1,1117.0333333333333,134044,6,13,"{4: 1, 5: 2}",{1: 3},120,0
7,11,4,63375,1,9647.10606060606,3183545,6,17,"{2: 1, 4: 1, 5: 2}",{1: 4},330,0
8,11,1,19,1,7.25,58,6,4,{0: 1},{1: 1},8,0
8,11,2,247,1,47.52777777777778,1711,6,9,"{0: 1, 4: 1}",{1: 2},36,0
8,11,3,3211,1,285.1666666666667,34220,6,14,"{0: 1, 4: 1, 5: 1}",{1: 3},120,0
8,11,4,32110,1,1581.378787878788,521855,6,17,"{0: 2, 4: 1, 5: 1}",{1: 4},330,0
9,11,1,21,1,11.875,95,5,4,{3: 1},{5: 1},8,0
9,11,2,378,1,126.66666666666667,4560,5,7,"{0: 1, 3: 1}",{5: 2},36,0
9,11,3,6048,1,1228.6666666666667,147440,5,11,"{0: 1, 2: 1, 3: 1}",{5: 3},120,0
9,11,4,84672,1,10946.30303030303,3612280,5,15,"{0: 1, 2: 1, 3: 1, 4: 1}",{5: 4},330,0
