ts,contacts,node,pred+,sp,t_1copies,t_2copies,t_3copies,t_4copies
0,11,0,"[2, 7]",3,4,10,20,35
0,11,1,"[0, 2, 3, 4, 6, 7]",10,11,66,286,1001
0,11,2,[],0,1,1,1,1
0,11,3,"[0, 2, 4, 6, 7]",9,10,55,220,715
0,11,4,"[0, 2, 3, 6, 7]",9,10,55,220,715
0,11,5,"[0, 2, 7]",4,5,15,35,70
0,11,6,"[0, 2, 7]",7,8,36,120,330
0,11,7,[2],1,2,3,4,5
1,11,0,[],0,1,1,1,1
1,11,1,"[0, 2, 3, 4, 5, 6, 7]",10,11,66,286,1001
1,11,2,"[0, 1, 3, 4, 5, 6, 7]",16,17,153,969,4845
1,11,3,[],0,1,1,1,1
1,11,4,"[0, 1, 2, 3, 5, 6, 7]",12,13,91,455,1820
1,11,5,[0],1,2,3,4,5
1,11,6,"[0, 1, 2, 3, 4, 5, 7]",8,9,45,165,495
1,11,7,[],0,1,1,1,1
2,11,0,[],0,1,1,1,1
2,11,1,"[0, 2, 3, 4, 5, 6, 7]",9,10,55,220,715
2,11,2,"[0, 1, 3, 4, 5, 6, 7]",10,11,66,286,1001
2,11,3,"[0, 1, 2, 4, 5, 6, 7]",10,11,66,286,1001
2,11,4,"[0, 1, 2, 3, 5, 6, 7]",10,11,66,286,1001
2,11,5,"[0, 1, 2, 3, 4, 6, 7]",13,14,105,560,2380
2,11,6,"[0, 1, 2, 3, 4, 5, 7]",8,9,45,165,495
2,11,7,"[0, 1, 2, 3, 4, 5, 6]",11,12,78,364,1365
3,11,0,"[1, 3, 4, 5]",6,7,28,84,210
3,11,1,[],0,1,1,1,1
3,11,2,"[0, 1, 3, 4, 5, 7]",15,16,136,816,3876
3,11,3,"[0, 1, 4, 5]",5,6,21,56,126
3,11,4,"[0, 1, 3, 5]",5,6,21,56,126
3,11,5,[],0,1,1,1,1
3,11,6,[],0,1,1,1,1
3,11,7,[],0,1,1,1,1
4,11,0,"[3, 4, 6, 7]",5,6,21,56,126
4,11,1,"[0, 3, 4, 6, 7]",11,12,78,364,1365
4,11,2,"[0, 1, 3, 4, 6, 7]",22,23,276,2300,14950
4,11,3,"[0, 4, 6, 7]",4,5,15,35,70
4,11,4,"[0, 3, 6, 7]",4,5,15,35,70
4,11,5,[],0,1,1,1,1
4,11,6,"[0, 3, 4, 7]",4,5,15,35,70
4,11,7,"[0, 3, 4, 6]",4,5,15,35,70
5,11,0,[1],1,2,3,4,5
5,11,1,[],0,1,1,1,1
5,11,2,"[0, 1, 6]",5,6,21,56,126
5,11,3,"[0, 1, 2, 6]",6,7,28,84,210
5,11,4,"[0, 1, 2, 3, 6]",9,10,55,220,715
5,11,5,"[0, 1, 2, 3, 4, 6]",10,11,66,286,1001
5,11,6,"[0, 1]",3,4,10,20,35
5,11,7,"[0, 1]",3,4,10,20,35
6,11,0,"[1, 2, 4, 7]",4,5,15,35,70
6,11,1,[7],1,2,3,4,5
6,11,2,"[1, 4, 7]",3,4,10,20,35
6,11,3,[],0,1,1,1,1
6,11,4,"[1, 2, 7]",3,4,10,20,35
6,11,5,"[1, 2, 3, 4, 7]",5,6,21,56,126
6,11,6,"[0, 1, 2, 4, 7]",13,14,105,560,2380
6,11,7,[1],1,2,3,4,5
7,11,0,[],0,1,1,1,1
7,11,1,"[0, 2, 3, 4, 5, 6, 7]",13,14,105,560,2380
7,11,2,"[0, 1, 3, 4, 5, 6, 7]",13,14,105,560,2380
7,11,3,"[4, 5, 6, 7]",4,5,15,35,70
7,11,4,"[3, 5, 6, 7]",4,5,15,35,70
7,11,5,[],0,1,1,1,1
7,11,6,[5],1,2,3,4,5
7,11,7,"[3, 4, 5, 6]",4,5,15,35,70
8,11,0,"[3, 4, 5, 7]",8,9,45,165,495
8,11,1,"[0, 2, 3, 4, 5, 7]",10,11,66,286,1001
8,11,2,[],0,1,1,1,1
8,11,3,"[4, 5]",3,4,10,20,35
8,11,4,"[3, 5]",2,3,6,10,15
8,11,5,"[3, 4]",2,3,6,10,15
8,11,6,"[3, 4, 5]",7,8,36,120,330
8,11,7,"[3, 4, 5]",7,8,36,120,330
9,11,0,"[1, 2, 3, 4, 5, 7]",7,8,36,120,330
9,11,1,"[0, 2, 3, 4, 5, 7]",6,7,28,84,210
9,11,2,"[0, 1, 3, 4, 5, 7]",6,7,28,84,210
9,11,3,"[0, 1, 2, 4, 5, 7]",7,8,36,120,330
9,11,4,"[0, 1, 2, 3, 5, 7]",6,7,28,84,210
9,11,5,"[0, 1, 2, 3, 4, 7]",7,8,36,120,330
9,11,6,[],0,1,1,1,1
9,11,7,"[0, 1, 2, 3, 4, 5]",15,16,136,816,3876
