ts,contacts,copies,max_t,min_t,avg_t,acum_t,max_hop_sp,dif_contacts_upper_bound,state_max_t,state_min_t,explored_states,non_reachable_states_count
0,11,1,14,1,6.875,55,5,2,{0: 1},{6: 1},8,0
0,11,2,196,1,42.77777777777778,1540,5,4,"{0: 1, 2: 1}",{6: 2},36,28
0,11,3,2744,1,243.83333333333334,29260,5,7,"{0: 1, 2: 1, 3: 1}",{6: 3},120,112
0,11,4,20580,1,1285.6666666666667,424270,5,9,"{0: 1, 2: 1, 3: 2}",{6: 4},330,322
1,11,1,10,1,5.875,47,5,4,{6: 1},{5: 1},8,0
1,11,2,90,1,31.333333333333332,1128,5,7,"{0: 1, 6: 1}",{5: 2},36,2
1,11,3,630,1,153.53333333333333,18424,5,10,"{0: 1, 4: 1, 6: 1}",{5: 3},120,15
1,11,4,3780,1,697.8787878787879,230300,5,13,"{0: 1, 2: 1, 4: 1, 6: 1}",{5: 4},330,64
2,11,1,13,1,4.875,39,4,3,{3: 1},{6: 1},8,0
2,11,2,91,1,21.666666666666668,780,4,5,{3: 2},{6: 2},36,0
2,11,3,546,1,88.83333333333333,10660,4,8,"{2: 1, 3: 2}",{6: 3},120,0
2,11,4,3276,1,339.1818181818182,111930,4,11,"{0: 1, 2: 1, 3: 2}",{6: 4},330,0
3,11,1,19,1,7.625,61,5,3,{3: 1},{0: 1},8,0
3,11,2,342,1,52.52777777777778,1891,5,5,"{3: 1, 5: 1}",{0: 2},36,0
3,11,3,3762,1,330.925,39711,5,10,"{3: 1, 5: 1, 7: 1}",{0: 3},120,0
3,11,4,37620,1,1925.3818181818183,635376,5,14,"{3: 2, 5: 1, 7: 1}",{0: 4},330,0
4,11,1,11,1,5.0,40,4,3,{1: 1},{5: 1},8,0
4,11,2,88,1,22.77777777777778,820,4,5,"{1: 1, 3: 1}",{5: 2},36,0
4,11,3,616,1,95.66666666666667,11480,4,7,"{1: 1, 3: 1, 7: 1}",{5: 3},120,0
4,11,4,3696,1,373.969696969697,123410,4,10,"{1: 2, 3: 1, 7: 1}",{5: 4},330,0
5,11,1,24,1,8.875,71,6,5,{4: 1},{0: 1},8,0
5,11,2,300,1,71.0,2556,6,9,{4: 2},{0: 2},36,0
5,11,3,3000,1,518.3,62196,6,13,"{4: 2, 7: 1}",{0: 3},120,0
5,11,4,27000,1,3486.7454545454543,1150626,6,16,"{3: 1, 4: 2, 7: 1}",{0: 4},330,0
6,11,1,17,1,9.5,76,6,4,{0: 1},{5: 1},8,0
6,11,2,272,1,81.27777777777777,2926,6,7,"{0: 1, 6: 1}",{5: 2},36,0
6,11,3,3808,1,633.9666666666667,76076,6,10,"{0: 1, 4: 1, 6: 1}",{5: 3},120,0
6,11,4,49504,1,4553.033333333334,1502501,6,13,"{0: 1, 2: 1, 4: 1, 6: 1}",{5: 4},330,0
7,11,1,30,1,9.125,73,6,3,{1: 1},{4: 1},8,0
7,11,2,465,1,75.02777777777777,2701,6,5,{1: 2},{4: 2},36,0
7,11,3,5580,1,562.7083333333334,67525,6,9,"{1: 2, 6: 1}",{4: 3},120,0
7,11,4,61380,1,3887.8030303030305,1282975,6,14,"{1: 2, 3: 1, 6: 1}",{4: 4},330,0
8,11,1,10,1,4.125,33,4,2,{1: 1},{7: 1},8,0
8,11,2,55,1,15.583333333333334,561,4,4,{1: 2},{7: 2},36,0
8,11,3,275,1,54.541666666666664,6545,4,6,"{1: 2, 2: 1}",{7: 3},120,0
8,11,4,1100,1,178.5,58905,4,8,"{1: 3, 2: 1}",{7: 4},330,0
9,11,1,10,1,4.875,39,4,2,{4: 1},{2: 1},8,0
9,11,2,100,1,21.666666666666668,780,4,4,"{4: 1, 7: 1}",{2: 2},36,0
9,11,3,550,1,88.83333333333333,10660,4,6,"{4: 1, 7: 2}",{2: 3},120,0
9,11,4,3025,1,339.1818181818182,111930,4,9,"{4: 2, 7: 2}",{2: 4},330,0
