ts,contacts,node,pred+,sp,t_1copies,t_2copies,t_3copies,t_4copies
0,11,0,"[1, 2, 3, 4, 5, 6, 7]",13,14,105,560,2380
0,11,1,"[6, 7]",2,3,6,10,15
0,11,2,"[0, 1, 3, 4, 5, 6, 7]",13,14,105,560,2380
0,11,3,"[0, 1, 2, 4, 5, 6, 7]",13,14,105,560,2380
0,11,4,[6],1,2,3,4,5
0,11,5,"[1, 4, 6, 7]",5,6,21,56,126
0,11,6,[],0,1,1,1,1
0,11,7,[],0,1,1,1,1
1,11,0,"[1, 2, 3, 4, 5, 6, 7]",8,9,45,165,495
1,11,1,"[2, 4, 6, 7]",5,6,21,56,126
1,11,2,"[1, 4, 6, 7]",5,6,21,56,126
1,11,3,[5],1,2,3,4,5
1,11,4,"[1, 2, 6, 7]",6,7,28,84,210
1,11,5,[],0,1,1,1,1
1,11,6,"[1, 2, 4, 7]",9,10,55,220,715
1,11,7,"[1, 2, 4, 6]",5,6,21,56,126
2,11,0,"[1, 2, 4, 6]",5,6,21,56,126
2,11,1,[6],1,2,3,4,5
2,11,2,"[0, 1, 4, 6]",5,6,21,56,126
2,11,3,"[0, 1, 2, 4, 6, 7]",12,13,91,455,1820
2,11,4,"[1, 6]",2,3,6,10,15
2,11,5,[6],1,2,3,4,5
2,11,6,[],0,1,1,1,1
2,11,7,"[1, 4, 6]",5,6,21,56,126
3,11,0,[],0,1,1,1,1
3,11,1,[],0,1,1,1,1
3,11,2,[],0,1,1,1,1
3,11,3,"[0, 1, 2, 4, 5, 6, 7]",18,19,190,1330,7315
3,11,4,"[1, 2, 6]",4,5,15,35,70
3,11,5,"[0, 1, 2, 4, 6, 7]",17,18,171,1140,5985
3,11,6,"[1, 2, 4]",4,5,15,35,70
3,11,7,"[1, 2, 4, 6]",10,11,66,286,1001
4,11,0,"[2, 6]",2,3,6,10,15
4,11,1,"[0, 2, 4, 6]",10,11,66,286,1001
4,11,2,"[0, 6]",2,3,6,10,15
4,11,3,"[0, 2, 4, 6]",7,8,36,120,330
4,11,4,"[0, 2, 6]",3,4,10,20,35
4,11,5,[],0,1,1,1,1
4,11,6,"[0, 2]",2,3,6,10,15
4,11,7,"[0, 2, 6]",6,7,28,84,210
5,11,0,[],0,1,1,1,1
5,11,1,"[0, 2, 5, 6, 7]",5,6,21,56,126
5,11,2,"[0, 1, 5, 6, 7]",7,8,36,120,330
5,11,3,"[0, 1, 2, 5, 6, 7]",8,9,45,165,495
5,11,4,"[0, 1, 2, 3, 5, 6, 7]",23,24,300,2600,17550
5,11,5,"[0, 1, 2, 6, 7]",5,6,21,56,126
5,11,6,"[0, 1, 2, 5, 7]",6,7,28,84,210
5,11,7,"[0, 1, 2, 5, 6]",9,10,55,220,715
6,11,0,"[1, 2, 3, 4, 5, 6, 7]",16,17,153,969,4845
6,11,1,"[0, 2, 3, 4, 5, 6, 7]",11,12,78,364,1365
6,11,2,"[0, 1, 3, 4, 5, 6, 7]",12,13,91,455,1820
6,11,3,[7],1,2,3,4,5
6,11,4,"[0, 1, 2, 3, 5, 6, 7]",13,14,105,560,2380
6,11,5,[],0,1,1,1,1
6,11,6,"[0, 1, 2, 3, 4, 5, 7]",15,16,136,816,3876
6,11,7,[],0,1,1,1,1
7,11,0,"[2, 5, 7]",3,4,10,20,35
7,11,1,"[0, 2, 3, 5, 6, 7]",29,30,465,4960,40920
7,11,2,"[0, 5, 7]",4,5,15,35,70
7,11,3,"[0, 2, 5, 7]",10,11,66,286,1001
7,11,4,[],0,1,1,1,1
7,11,5,"[0, 2, 7]",3,4,10,20,35
7,11,6,"[0, 2, 3, 5, 7]",11,12,78,364,1365
7,11,7,"[0, 2, 5]",5,6,21,56,126
8,11,0,"[2, 6, 7]",3,4,10,20,35
8,11,1,"[0, 2, 6, 7]",9,10,55,220,715
8,11,2,"[0, 6, 7]",4,5,15,35,70
8,11,3,"[4, 7]",2,3,6,10,15
8,11,4,[7],1,2,3,4,5
8,11,5,"[4, 7]",3,4,10,20,35
8,11,6,"[0, 2, 7]",3,4,10,20,35
8,11,7,[],0,1,1,1,1
9,11,0,"[1, 2, 5, 6]",4,5,15,35,70
9,11,1,"[2, 5, 6]",3,4,10,20,35
9,11,2,[],0,1,1,1,1
9,11,3,[],0,1,1,1,1
9,11,4,"[1, 2, 5, 6]",9,10,55,220,715
9,11,5,"[1, 2, 6]",3,4,10,20,35
9,11,6,"[1, 2, 5]",3,4,10,20,35
9,11,7,"[0, 1, 2, 5, 6]",9,10,55,220,715
