ts,contacts,copies,max_t,min_t,avg_t,acum_t,max_hop_sp,dif_contacts_upper_bound,state_max_t,state_min_t,explored_states,non_reachable_states_count
0,11,1,13,1,6.0,48,6,2,{1: 1},{2: 1},8,0
0,11,2,117,1,32.666666666666664,1176,6,5,"{0: 1, 1: 1}",{2: 2},36,28
0,11,3,819,1,163.33333333333334,19600,6,10,"{0: 1, 1: 2}",{2: 3},120,112
0,11,4,5733,1,757.2727272727273,249900,6,14,"{0: 1, 1: 2, 4: 1}",{2: 4},330,322
1,11,1,14,1,6.75,54,5,3,{1: 1},{5: 1},8,0
1,11,2,112,1,41.25,1485,5,6,"{1: 1, 7: 1}",{5: 2},36,7
1,11,3,840,1,231.0,27720,5,10,"{1: 2, 7: 1}",{5: 3},120,35
1,11,4,5880,1,1197.0,395010,5,13,"{1: 2, 3: 1, 7: 1}",{5: 4},330,119
2,11,1,13,1,9.5,76,6,3,{5: 1},{1: 1},8,0
2,11,2,156,1,81.27777777777777,2926,6,5,"{2: 1, 5: 1}",{1: 2},36,0
2,11,3,1872,1,633.9666666666667,76076,6,10,"{2: 1, 5: 1, 6: 1}",{1: 3},120,0
2,11,4,22464,1,4553.033333333334,1502501,6,14,"{2: 1, 5: 1, 6: 1, 7: 1}",{1: 4},330,0
3,11,1,12,1,5.75,46,6,4,{4: 1},{2: 1},8,0
3,11,2,132,1,30.02777777777778,1081,6,9,"{4: 1, 7: 1}",{2: 2},36,0
3,11,3,858,1,144.13333333333333,17296,6,12,"{4: 2, 7: 1}",{2: 3},120,0
3,11,4,5148,1,642.0484848484848,211876,6,17,"{4: 2, 7: 2}",{2: 4},330,0
4,11,1,9,1,4.75,38,4,2,{3: 1},{2: 1},8,0
4,11,2,81,1,20.583333333333332,741,4,5,"{3: 1, 5: 1}",{2: 2},36,0
4,11,3,729,1,82.33333333333333,9880,4,7,"{3: 1, 5: 1, 6: 1}",{2: 3},120,0
4,11,4,3645,1,306.8787878787879,101270,4,11,"{3: 1, 5: 1, 6: 2}",{2: 4},330,0
5,11,1,12,1,4.875,39,4,4,{5: 1},{0: 1},8,0
5,11,2,108,1,21.666666666666668,780,4,7,"{2: 1, 5: 1}",{0: 2},36,0
5,11,3,972,1,88.83333333333333,10660,4,9,"{1: 1, 2: 1, 5: 1}",{0: 3},120,0
5,11,4,6318,1,339.1818181818182,111930,4,11,"{1: 1, 2: 1, 5: 2}",{0: 4},330,0
6,11,1,9,1,6.0,48,6,3,{0: 1},{4: 1},8,0
6,11,2,72,1,32.666666666666664,1176,6,5,"{0: 1, 1: 1}",{4: 2},36,0
6,11,3,576,1,163.33333333333334,19600,6,9,"{0: 1, 1: 1, 7: 1}",{4: 3},120,0
6,11,4,4032,1,757.2727272727273,249900,6,13,"{0: 1, 1: 1, 6: 1, 7: 1}",{4: 4},330,0
7,11,1,15,1,6.625,53,6,3,{1: 1},{7: 1},8,0
7,11,2,210,1,39.75,1431,6,5,"{1: 1, 3: 1}",{7: 2},36,0
7,11,3,1680,1,218.625,26235,6,9,"{1: 2, 3: 1}",{7: 3},120,0
7,11,4,12600,1,1113.0,367290,6,11,"{1: 2, 3: 2}",{7: 4},330,0
8,11,1,13,1,4.75,38,5,4,{3: 1},{1: 1},8,0
8,11,2,91,1,20.583333333333332,741,5,7,{3: 2},{1: 2},36,0
8,11,3,546,1,82.33333333333333,9880,5,10,"{3: 2, 6: 1}",{1: 3},120,0
8,11,4,2730,1,306.8787878787879,101270,5,14,"{3: 3, 6: 1}",{1: 4},330,0
9,11,1,11,1,5.875,47,5,3,{7: 1},{1: 1},8,0
9,11,2,110,1,31.333333333333332,1128,5,6,"{6: 1, 7: 1}",{1: 2},36,0
9,11,3,1100,1,153.53333333333333,18424,5,9,"{5: 1, 6: 1, 7: 1}",{1: 3},120,0
9,11,4,11000,1,697.8787878787879,230300,5,13,"{0: 1, 5: 1, 6: 1, 7: 1}",{1: 4},330,0
