ts,contacts,copies,max_t,min_t,avg_t,acum_t,max_hop_sp,dif_contacts_upper_bound,state_max_t,state_min_t,explored_states,non_reachable_states_count
0,11,1,21,1,5.875,47,5,3,{6: 1},{3: 1},8,0
0,11,2,231,1,31.333333333333332,1128,5,5,{6: 2},{3: 2},36,28
0,11,3,1848,1,153.53333333333333,18424,5,9,"{0: 1, 6: 2}",{3: 3},120,112
0,11,4,14784,1,697.8787878787879,230300,5,12,"{0: 1, 6: 2, 7: 1}",{3: 4},330,322
1,11,1,13,1,7.125,57,5,2,{1: 1},{0: 1},8,0
1,11,2,156,1,45.916666666666664,1653,5,6,"{1: 1, 2: 1}",{0: 2},36,7
1,11,3,1716,1,270.90833333333336,32509,5,9,"{1: 1, 2: 1, 7: 1}",{0: 3},120,35
1,11,4,15444,1,1477.6818181818182,487635,5,12,"{1: 1, 2: 1, 6: 1, 7: 1}",{0: 4},330,119
2,11,1,15,1,6.625,53,6,4,{7: 1},{2: 1},8,0
2,11,2,210,1,39.75,1431,6,7,"{4: 1, 7: 1}",{2: 2},36,0
2,11,3,1680,1,218.625,26235,6,11,"{4: 1, 7: 2}",{2: 3},120,0
2,11,4,13440,1,1113.0,367290,6,14,"{4: 1, 6: 1, 7: 2}",{2: 4},330,0
3,11,1,22,1,9.5,76,5,3,{2: 1},{0: 1},8,0
3,11,2,286,1,81.27777777777777,2926,5,6,"{2: 1, 5: 1}",{0: 2},36,0
3,11,3,3289,1,633.9666666666667,76076,5,10,"{2: 2, 5: 1}",{0: 3},120,0
3,11,4,36179,1,4553.033333333334,1502501,5,12,"{2: 2, 4: 1, 5: 1}",{0: 4},330,0
4,11,1,13,1,8.375,67,5,5,{3: 1},{4: 1},8,0
4,11,2,156,1,63.27777777777778,2278,5,9,"{2: 1, 3: 1}",{4: 2},36,0
4,11,3,1716,1,436.6166666666667,52394,5,12,"{1: 1, 2: 1, 3: 1}",{4: 3},120,0
4,11,4,18876,1,2778.469696969697,916895,5,16,"{0: 1, 1: 1, 2: 1, 3: 1}",{4: 4},330,0
5,11,1,14,1,6.125,49,5,2,{0: 1},{5: 1},8,0
5,11,2,140,1,34.02777777777778,1225,5,5,"{0: 1, 2: 1}",{5: 2},36,0
5,11,3,1050,1,173.54166666666666,20825,5,8,"{0: 2, 2: 1}",{5: 3},120,0
5,11,4,7350,1,820.3787878787879,270725,5,11,"{0: 2, 2: 1, 4: 1}",{5: 4},330,0
6,11,1,14,1,5.25,42,5,2,{1: 1},{4: 1},8,0
6,11,2,112,1,25.083333333333332,903,5,4,"{1: 1, 2: 1}",{4: 2},36,0
6,11,3,840,1,110.36666666666666,13244,5,7,"{1: 2, 2: 1}",{4: 3},120,0
6,11,4,4480,1,451.5,148995,5,10,"{1: 3, 2: 1}",{4: 4},330,0
7,11,1,13,1,3.875,31,4,2,{3: 1},{1: 1},8,0
7,11,2,91,1,13.777777777777779,496,4,4,{3: 2},{1: 2},36,0
7,11,3,455,1,45.46666666666667,5456,4,6,{3: 3},{1: 3},120,0
7,11,4,2275,1,140.53333333333333,46376,4,8,"{3: 3, 6: 1}",{1: 4},330,0
8,11,1,11,1,5.0,40,6,3,{3: 1},{1: 1},8,0
8,11,2,121,1,22.77777777777778,820,6,7,"{3: 1, 7: 1}",{1: 2},36,0
8,11,3,726,1,95.66666666666667,11480,6,11,"{3: 1, 7: 2}",{1: 3},120,0
8,11,4,4356,1,373.969696969697,123410,6,16,"{3: 2, 7: 2}",{1: 4},330,0
9,11,1,16,1,4.875,39,4,3,{3: 1},{0: 1},8,0
9,11,2,160,1,21.666666666666668,780,4,7,"{3: 1, 6: 1}",{0: 2},36,0
9,11,3,1360,1,88.83333333333333,10660,4,10,"{3: 2, 6: 1}",{0: 3},120,0
9,11,4,8160,1,339.1818181818182,111930,4,13,"{3: 3, 6: 1}",{0: 4},330,0
