ts,contacts,node,pred+,sp,t_1copies,t_2copies,t_3copies,t_4copies
0,11,0,"[1, 2, 3, 4, 7]",7,8,36,120,330
0,11,1,[3],1,2,3,4,5
0,11,2,"[1, 3]",3,4,10,20,35
0,11,3,[],0,1,1,1,1
0,11,4,[3],1,2,3,4,5
0,11,5,[],0,1,1,1,1
0,11,6,"[0, 1, 2, 3, 4, 7]",20,21,231,1771,10626
0,11,7,"[0, 1, 2, 3, 4]",7,8,36,120,330
1,11,0,[],0,1,1,1,1
1,11,1,"[2, 3, 4, 5, 6, 7]",12,13,91,455,1820
1,11,2,"[3, 4, 5, 6, 7]",11,12,78,364,1365
1,11,3,[],0,1,1,1,1
1,11,4,[],0,1,1,1,1
1,11,5,"[2, 3, 4, 6, 7]",8,9,45,165,495
1,11,6,"[2, 3, 4, 5, 7]",8,9,45,165,495
1,11,7,"[2, 3, 4, 5, 6]",10,11,66,286,1001
2,11,0,"[1, 2, 5]",3,4,10,20,35
2,11,1,"[0, 2, 5]",3,4,10,20,35
2,11,2,[],0,1,1,1,1
2,11,3,"[0, 1, 2, 5]",4,5,15,35,70
2,11,4,"[0, 1, 2, 3, 5, 6]",13,14,105,560,2380
2,11,5,[2],1,2,3,4,5
2,11,6,"[0, 1, 2, 3, 5]",7,8,36,120,330
2,11,7,"[0, 1, 2, 3, 4, 5, 6]",14,15,120,680,3060
3,11,0,[],0,1,1,1,1
3,11,1,"[3, 4, 5, 6]",10,11,66,286,1001
3,11,2,"[1, 3, 4, 5, 6]",21,22,253,2024,12650
3,11,3,"[1, 4, 5, 6]",9,10,55,220,715
3,11,4,"[1, 3, 5, 6]",10,11,66,286,1001
3,11,5,"[1, 3, 4, 6]",12,13,91,455,1820
3,11,6,"[1, 3, 4, 5]",6,7,28,84,210
3,11,7,[],0,1,1,1,1
4,11,0,"[1, 2, 5, 6]",10,11,66,286,1001
4,11,1,"[0, 2, 5, 6]",10,11,66,286,1001
4,11,2,"[0, 1, 5, 6]",11,12,78,364,1365
4,11,3,"[0, 1, 2, 5, 6]",12,13,91,455,1820
4,11,4,[],0,1,1,1,1
4,11,5,"[0, 1, 2, 6]",7,8,36,120,330
4,11,6,"[0, 1, 2, 5]",4,5,15,35,70
4,11,7,"[0, 1, 2, 5, 6]",5,6,21,56,126
5,11,0,"[1, 2, 3, 5, 6, 7]",13,14,105,560,2380
5,11,1,"[3, 5, 6, 7]",5,6,21,56,126
5,11,2,"[1, 3, 5, 6, 7]",9,10,55,220,715
5,11,3,[5],1,2,3,4,5
5,11,4,"[1, 3, 5, 6, 7]",6,7,28,84,210
5,11,5,[],0,1,1,1,1
5,11,6,"[1, 3, 5, 7]",5,6,21,56,126
5,11,7,"[3, 5]",2,3,6,10,15
6,11,0,"[3, 4, 5]",3,4,10,20,35
6,11,1,"[2, 3, 4, 5, 6]",13,14,105,560,2380
6,11,2,"[3, 4, 5, 6]",7,8,36,120,330
6,11,3,"[4, 5]",2,3,6,10,15
6,11,4,[],0,1,1,1,1
6,11,5,"[3, 4]",2,3,6,10,15
6,11,6,"[3, 4, 5]",3,4,10,20,35
6,11,7,"[0, 3, 4, 5]",4,5,15,35,70
7,11,0,"[1, 7]",2,3,6,10,15
7,11,1,[],0,1,1,1,1
7,11,2,"[0, 1, 7]",3,4,10,20,35
7,11,3,"[0, 1, 2, 4, 7]",12,13,91,455,1820
7,11,4,[],0,1,1,1,1
7,11,5,[],0,1,1,1,1
7,11,6,"[0, 1, 5, 7]",4,5,15,35,70
7,11,7,"[0, 1]",2,3,6,10,15
8,11,0,[1],1,2,3,4,5
8,11,1,[],0,1,1,1,1
8,11,2,[1],1,2,3,4,5
8,11,3,"[0, 1, 4, 5, 6, 7]",10,11,66,286,1001
8,11,4,"[0, 1, 5, 6]",4,5,15,35,70
8,11,5,"[0, 1]",2,3,6,10,15
8,11,6,"[0, 1, 4, 5]",4,5,15,35,70
8,11,7,"[0, 1, 3, 4, 5, 6]",10,11,66,286,1001
9,11,0,[],0,1,1,1,1
9,11,1,[],0,1,1,1,1
9,11,2,[],0,1,1,1,1
9,11,3,"[0, 1, 2, 4, 5, 6]",15,16,136,816,3876
9,11,4,"[0, 2, 5]",3,4,10,20,35
9,11,5,"[0, 2, 4]",3,4,10,20,35
9,11,6,"[0, 1, 2, 4, 5]",9,10,55,220,715
9,11,7,[0],1,2,3,4,5
